origin_id	chr	insert_position	LTR	insert_orientation	count	inserted_gene	refseq_id	gene_id	gene_orientation	exon_intron	nearest_gene	nearest_gene_refseq_id	nearest_gene_id	nearest_gene_orientation	nearest_gene_distance	comment	pubmed_id
AB256050.1	chr6	90751126	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256051.1	chr20	33058716	5LTR	+	1	ITCH	NM_031483	83737	+	intron15					0		17262715
AB256052.1	chr6	90751126	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256053.1	chr6	90754159	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256054.1	chr9	102689318	5LTR	-	1	STX17	NM_017919	55014	+	intron2					0		17262715
AB256055.1	chr8	64104217	5LTR	+	1	YTHDF3	NM_152758	253943	+	intron4;Flag=Last					0		17262715
AB256056.1	chrX	118943893	5LTR	-	1	not found					RPL39	NM_001000	6170	-	18271		17262715
AB256057.1	chr6	90751126	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256058.1	chr19	20220649	5LTR	+	1	ZNF90	NM_007138	7643	+	intron3;Flag=Last					0		17262715
AB256059.1	chr16	14325403	5LTR	+	1	MKL2	NM_014048	57496	+	intron8					0		17262715
AB256060.1	chr2	235359898	5LTR	-	1	LOC101060142			-	intron2;Flag=Last					0		17262715
AB256061.1	chr16	14325403	5LTR	+	1	MKL2	NM_014048	57496	+	intron8					0		17262715
AB256062.1	chr6	90751982	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256063.1	chr6	90783877	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256064.1	chr7	8022015	5LTR	+	1	GLCCI1	NM_138426	113263	+	intron1;Flag=First					0		17262715
AB256066.1	chr6	90761351	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256067.1	chr8	17822505	5LTR	+	1	PCM1	NM_006197	5108	+	intron18					0		17262715
AB256068.1	chr11	67061859	5LTR	-	1	ANKRD13D	NM_207354	338692	+	intron6					0		17262715
AB256069.1	chr13	50319967	5LTR	-	1	KPNA3	NM_002267	3839	-	intron2					0		17262715
AB256070.1	chr2	133019626	5LTR	+	1	not found					JA668105			-	4031		17262715
AB256071.1	chr7	106924361	5LTR	-	1	COG5	NM_006348	10466	-	intron12					0		17262715
AB256072.1	chr16	14325403	5LTR	+	1	MKL2	NM_014048	57496	+	intron8					0		17262715
AB256073.1	chr17	40412092	5LTR	-	1	STAT5B	NM_012448	6777	-	intron1;Flag=First					0		17262715
AB256074.1	chr11	63625284	5LTR	-	1	MARK2	NM_004954	2011	+	intron1;Flag=First					0		17262715
AB256075.1	chr6	90725682	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256076.1	chr12	117603362	5LTR	+	1	FBXO21	NM_033624	23014	-	exon9					0		17262715
AB256077.1	chrX	118943893	5LTR	-	1	not found					RPL39	NM_001000	6170	-	18271		17262715
AB256078.1	chr4	16194592	5LTR	+	1	TAPT1	NM_153365	202018	-	intron3					0		17262715
AB256079.1	chr16	29455394	5LTR	+	1	not found					DQ592203			-	4199		17262715
AB256080.1	chr16	11999381	5LTR	+	1	GSPT1	NM_001130007	2935	-	intron1;Flag=First					0		17262715
AB256081.1	chr6	90762775	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256082.1	chr18	2951779	5LTR	+	1	LPIN2	NM_014646	9663	-	intron3					0		17262715
AB256083.1	chr16	14325403	5LTR	+	1	MKL2	NM_014048	57496	+	intron8					0		17262715
AB256084.1	chr11	118093343	5LTR	+	1	AMICA1	NM_001098526	120425	-	intron1;Flag=First					0		17262715
AB256085.1	chr6	90728414	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256086.1	chr1	167512188	5LTR	+	1	CREG1	NM_003851	8804	-	intron3;Flag=Last					0		17262715
AB256087.1	chr3	49425852	5LTR	-	1	RHOA	NM_001664	387	-	intron1;Flag=First					0		17262715
AB256088.1	chr1	15905906	5LTR	+	1	AGMAT	NM_024758	79814	-	intron3					0		17262715
AB256089.1	chrX	118943893	5LTR	-	1	not found					RPL39	NM_001000	6170	-	18271		17262715
AB256090.1	chr6	90752135	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256091.1	chrX	118943893	5LTR	-	1	not found					RPL39	NM_001000	6170	-	18271		17262715
AB256092.1	chr11	68288628	5LTR	-	1	PPP6R3	NM_018312	55291	+	intron3					0		17262715
AB256093.1	chr7	129272535	5LTR	-	1	NRF1	NM_005011	4899	+	intron1;Flag=First					0		17262715
AB256094.1	chr22	42627211	5LTR	+	1	not found					TCF20	NM_181492	6942	-	15766		17262715
AB256095.1	chr6	90762991	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256096.1	chr6	90751126	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256097.1	chr17	74183135	5LTR	+	1	RNF157	NM_052916	114804	-	intron2					0		17262715
AB256098.1	chr17	40389010	5LTR	-	1	STAT5B	NM_012448	6777	-	intron1;Flag=First					0		17262715
AB256099.1	chr11	63308510	5LTR	-	1	RARRES3	NM_004585	5920	+	intron2					0		17262715
AB256100.1	chr6	90762210	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256101.1	chr6	90751982	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256102.1	chrX	118943893	5LTR	-	1	not found					RPL39	NM_001000	6170	-	18271		17262715
AB256103.1	chr6	90762033	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256104.1	chr11	63308510	5LTR	-	1	RARRES3	NM_004585	5920	+	intron2					0		17262715
AB256105.1	chr6	90751982	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256106.1	chr6	90761351	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256107.1	chrX	153162455	5LTR	-	1	not found					AVPR2	NR_027419	554	+	5529		17262715
AB256108.1	chr6	90757518	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256109.1	chr9	139709512	5LTR	+	1	RABL6	NM_024718	55684	+	intron1;Flag=First					0		17262715
AB256110.1	chr16	50063436	5LTR	-	1	CNEP1R1	NM_153261	255919	+	intron3					0		17262715
AB256111.1	chr16	1367809	5LTR	+	1	UBE2I	NM_194260	7329	+	intron4					0		17262715
AB256112.1	chr22	44381365	5LTR	+	1	SAMM50	NM_015380	25813	+	intron12					0		17262715
AB256113.1	chr17	35818249	5LTR	-	1	TADA2A	NM_001166105	6871	+	intron8					0		17262715
AB256114.1	chr6	44091987	5LTR	+	1	MRPL14	NM_032111	64928	-	intron1;Flag=First					0		17262715
AB256115.1	chr6	90751982	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256116.1	chr11	72070228	5LTR	-	1	CLPB	NM_001258392	81570	-	intron4					0		17262715
AB256117.1	chr13	99971890	5LTR	-	1	UBAC2	NM_001144072	337867	+	intron6					0		17262715
AB256118.1	chr17	4261515	5LTR	-	1	UBE2G1	NM_003342	7326	-	intron1;Flag=First					0		17262715
AB256119.1	chr15	77648282	5LTR	+	1	PEAK1	NM_024776	79834	-	intron1;Flag=First					0		17262715
AB256120.1	chr11	63335861	5LTR	+	1	not found					HRASLS2	NM_017878	54979	-	5006		17262715
AB256121.1	chr6	90727709	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256122.1	chr6	90761344	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256123.1	chr6	90751193	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256124.1	chr7	54816286	5LTR	-	1	not found					SEC61G	NM_001012456	23480	-	3653		17262715
AB256126.1	chr6	90731182	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256127.1	chr16	28164266	5LTR	+	1	XPO6	NM_001270940	23214	-	intron8					0		17262715
AB256128.1	chr6	90727631	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256129.1	chr9	134382566	5LTR	-	1	POMT1	NM_007171	10585	+	intron4					0		17262715
AB256130.1	chr22	38011245	5LTR	-	1	GGA1	NM_001001560	26088	+	intron2					0		17262715
AB256131.1	chr6	90727709	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256132.1	chr10	47572785	5LTR	-	1	not found					AK057316			+	85448		17262715
AB256133.1	chr16	66849558	5LTR	+	1	NAE1	NM_003905	8883	-	intron11					0		17262715
AB256134.1	chr16	25088261	5LTR	+	1	not found					DQ591690			+	3789		17262715
AB256135.1	chr6	90725088	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256136.1	chr18	67837922	5LTR	-	1	RTTN	NM_173630	25914	-	intron11					0		17262715
AB256137.1	chr10	105737093	5LTR	-	1	SLK	NM_014720	9748	+	intron1;Flag=First					0		17262715
AB256138.1	chr6	90727709	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256139.1	chr17	8071356	5LTR	-	1	not found					TMEM107	NM_183065	84314	-	4940		17262715
AB256140.1	chr7	6172272	5LTR	+	1	USP42	NM_032172	84132	+	intron3					0		17262715
AB256141.1	chr12	57909229	5LTR	+	1	MARS	NM_004990	4141	+	intron18					0		17262715
AB256142.1	chr6	26142746	5LTR	-	1	not found					HIST1H2AC			+	3414		17262715
AB256143.1	chr1	26792024	5LTR	+	1	DHDDS	NM_024887	79947	+	intron8;Flag=Last					0		17262715
AB256144.1	chr6	90732927	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256145.1	chr6	90751044	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256147.1	chr19	40799413	5LTR	+	1	not found					AKT2	NM_001243028	208	-	8111		17262715
AB256148.1	chr2	24949995	5LTR	-	1	NCOA1	NM_147233	8648	+	intron13					0		17262715
AB256149.1	chr6	90731413	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256150.1	chr1	45379789	5LTR	+	1	EIF2B3	NM_020365	8891	-	intron5					0		17262715
AB256151.1	chr11	64132547	5LTR	-	1	RPS6KA4	NM_001006944	8986	+	intron8					0		17262715
AB256152.1	chr15	93518673	5LTR	-	1	CHD2	NM_001271	1106	+	intron20					0		17262715
AB256153.1	chr6	144844822	5LTR	-	1	UTRN	NM_007124	7402	+	intron40					0		17262715
AB256154.1	chr3	71069621	5LTR	-	1	FOXP1	NM_032682	27086	-	intron11					0		17262715
AB256155.1	chr1	145244933	5LTR	+	1	NOTCH2NL	NM_203458	388677	+	intron1;Flag=First					0		17262715
AB256156.1	chr11	62584172	5LTR	+	1	STX5	NM_003164	6811	-	intron10;Flag=Last					0		17262715
AB256157.1	chr6	90731236	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256158.1	chr1	22401992	5LTR	+	1	CDC42	NM_001039802	998	+	intron2					0		17262715
AB256159.1	chr14	76656050	5LTR	-	1	GPATCH2L	NM_017926	55668	+	intron8					0		17262715
AB256160.1	chr6	90732927	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256161.1	chr16	18893143	5LTR	+	1	SMG1	NM_015092	23049	-	intron10					0		17262715
AB256162.1	chr6	90732883	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256163.1	chr16	18893143	5LTR	+	1	SMG1	NM_015092	23049	-	intron10					0		17262715
AB256164.1	chr16	18893143	5LTR	+	1	SMG1	NM_015092	23049	-	intron10					0		17262715
AB256165.1	chr16	18893143	5LTR	+	1	SMG1	NM_015092	23049	-	intron10					0		17262715
AB256166.1	chr6	90752135	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256167.1	chr6	32870468	5LTR	-	1	LOC100294145	NR_037177	100294145	+	exon2;Flag=Last					0		17262715
AB256168.1	chr15	75225931	5LTR	-	1	COX5A	NM_004255	9377	-	intron1;Flag=First					0		17262715
AB256169.1	chr2	32687141	5LTR	-	1	BIRC6	NM_016252	57448	+	intron23					0		17262715
AB256170.1	chr19	10465278	5LTR	+	1	TYK2	NM_003331	7297	-	exon19					0		17262715
AB256171.1	chr16	18893143	5LTR	+	1	SMG1	NM_015092	23049	-	intron10					0		17262715
AB256172.1	chr6	90746053	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256173.1	chr16	88024922	5LTR	-	1	BANP	NM_001173541	54971	+	intron4					0		17262715
AB256174.1	chr17	62612983	5LTR	+	1	SMURF2	NM_022739	64750	-	intron1;Flag=First					0		17262715
AB256175.1	chr6	90762210	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256176.1	chr19	10468402	5LTR	+	1	TYK2	NM_003331	7297	-	intron17					0		17262715
AB256177.1	chr6	90751982	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256178.1	chr19	47701178	5LTR	+	1	SAE1	NM_005500	10055	+	intron7					0		17262715
AB256179.1	chr5	137315783	5LTR	-	1	FAM13B	NM_001101801	51306	-	intron9					0		17262715
AB256180.1	chr6	90760482	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256181.1	chr16	18893143	5LTR	+	1	SMG1	NM_015092	23049	-	intron10					0		17262715
AB256182.1	chr6	90756807	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256183.1	chr11	63308510	5LTR	-	1	RARRES3	NM_004585	5920	+	intron2					0		17262715
AB256184.1	chr3	47667238	5LTR	+	1	SMARCC1	NM_003074	6599	-	intron24					0		17262715
AB256185.1	chr6	90751982	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256186.1	chr6	90751302	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256187.1	chr7	129272535	5LTR	-	1	NRF1	NM_005011	4899	+	intron1;Flag=First					0		17262715
AB256188.1	chr6	90751982	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256189.1	chr6	90762210	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256190.1	chr6	90752135	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256191.1	chrX	118943893	5LTR	-	1	not found					RPL39	NM_001000	6170	-	18271		17262715
AB256192.1	chr16	18893143	5LTR	+	1	SMG1	NM_015092	23049	-	intron10					0		17262715
AB256193.1	chr6	90751302	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256194.1	chr16	18893143	5LTR	+	1	SMG1	NM_015092	23049	-	intron10					0		17262715
AB256195.1	chr1	155420058	5LTR	+	1	ASH1L	NM_018489	55870	-	intron4					0		17262715
AB256196.1	chr8	71312554	5LTR	-	1	NCOA2	NM_006540	10499	-	intron1;Flag=First					0		17262715
AB256197.1	chr12	19730817	5LTR	-	1	not found					AEBP2	NM_001267043	121536	+	55644		17262715
AB256198.1	chr4	146044130	5LTR	+	1	ABCE1	NM_002940	6059	+	intron13					0		17262715
AB256199.1	chr11	6637303	5LTR	-	1	TPP1	NM_000391	1200	-	exon9					0		17262715
AB256200.1	chrX	153162455	5LTR	-	1	not found					AVPR2	NR_027419	554	+	5529		17262715
AB256201.1	chr7	44668817	5LTR	-	1	OGDH	NM_001165036	4967	+	intron2					0		17262715
AB256202.1	chr6	90727631	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256203.1	chr17	44764904	5LTR	+	1	NSF	NM_006178	4905	+	intron9					0		17262715
AB256204.1	chr22	50988621	5LTR	+	1	KLHDC7B	NM_138433	113730	+	exon1;Flag=SingleExo					0		17262715
AB256205.1	chrX	118943893	5LTR	-	1	not found					RPL39	NM_001000	6170	-	18271		17262715
AB256206.1	chr16	18893143	5LTR	+	1	SMG1	NM_015092	23049	-	intron10					0		17262715
AB256207.1	chr16	67627008	5LTR	-	1	CTCF	NM_006565	10664	+	intron2					0		17262715
AB256208.1	chr4	49644730	5LTR	+	1	not found					DQ590126			-	53282		17262715
AB256209.1	chr6	90762210	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256210.1	chr1	229582561	5LTR	+	1	NUP133	NM_018230	55746	-	intron24					0		17262715
AB256211.1	chr6	90762775	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256212.1	chrX	118943893	5LTR	-	1	not found					RPL39	NM_001000	6170	-	18271		17262715
AB256213.1	chr6	90762775	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256214.1	chr20	62347920	5LTR	-	1	ZGPAT	NM_001083113	84619	+	intron2					0		17262715
AB256215.1	chr10	91601309	5LTR	+	1	not found					LINC00865			+	691		17262715
AB256216.1	chr7	17235000	5LTR	-	1	not found					AHR	NM_001621	196	+	103275		17262715
AB256217.1	chr11	20436103	5LTR	-	1	PRMT3	NM_005788	10196	+	intron9					0		17262715
AB256218.1	chr6	90751635	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256219.1	chr1	1252831	5LTR	+	1	CPSF3L	NM_001256462	54973	-	intron2					0		17262715
AB256220.1	chr1	145488885	5LTR	-	1	LIX1L	NM_153713	128077	+	intron2					0		17262715
AB256221.1	chr6	90751065	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256222.1	chr2	64320007	5LTR	+	1	PELI1	NM_020651	57162	-	exon7;Flag=Last					0		17262715
AB256223.1	chr20	62347920	5LTR	-	1	ZGPAT	NM_001083113	84619	+	intron2					0		17262715
AB256224.1	chr20	24299215	5LTR	-	1	not found					FLJ33581	NR_040102	400839	+	93991		17262715
AB256225.1	chr17	4146601	5LTR	+	1	ANKFY1	NM_016376	51479	-	intron1;Flag=First					0		17262715
AB256226.1	chr6	90732927	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256227.1	chr6	30505116	5LTR	-	1	not found					GNL1	NM_005275	2794	-	4038		17262715
AB256228.1	chr6	90751065	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256229.1	chr6	90762775	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256230.1	chr16	30305420	5LTR	-	1	LOC595101	NR_002453		-	intron8					0		17262715
AB256231.1	chr22	24707003	5LTR	+	1	SPECC1L	NM_015330	23384	+	intron3					0		17262715
AB256232.1	chr6	90754240	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256233.1	chr6	33746300	5LTR	+	1	LEMD2	NM_181336	221496	-	intron5					0		17262715
AB256234.1	chr3	52299535	5LTR	+	1	WDR82	NM_025222	80335	-	intron3					0		17262715
AB256235.1	chr1	1754772	5LTR	+	1	GNB1	NM_002074	2782	-	intron3					0		17262715
AB256236.1	chrX	134700377	5LTR	-	1	DDX26B	NM_182540	203522	+	intron9					0		17262715
AB256237.1	chr19	8523022	5LTR	-	1	HNRNPM	NM_031203	4670	+	intron2					0		17262715
AB256238.1	chr14	38533349	5LTR	+	1	not found					C14orf25			+	22702		17262715
AB256239.1	chr6	90726629	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256240.1	chr6	90762775	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256241.1	chr6	90731413	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256242.1	chr6	90751894	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256243.1	chr16	22494995	5LTR	+	1	SMG1P1	NR_027154		+	intron22					0		17262715
AB256244.1	chr12	57132959	5LTR	-	1	PRIM1	NM_000946	5557	-	intron10					0		17262715
AB256245.1	chr11	17339352	5LTR	-	1	NUCB2	NM_005013	4925	+	intron11					0		17262715
AB256246.1	chr2	96617145	5LTR	+	1	ANKRD36C			-	exon13					0		17262715
AB256247.1	chr6	90751635	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256248.1	chr6	90751065	5LTR	-	1	BACH2	NM_001170794	60468	-	intron3					0		17262715
AB256249.1	chr19	2148199	5LTR	+	1	AP3D1	NM_003938	8943	-	intron1;Flag=First					0		17262715
AB256250.1	chr19	42040608	5LTR	-	1	not found					CEACAM21			+	15277		17262715
AB256251.1	chr22	19844918	5LTR	-	1	not found					C22orf29	NM_024627	79680	-	2456		17262715
