info/source_line,landmark,location,ltr,note,orientation_in_landmark,sample/original_id,sample/pubmed_id,sample/subject,sample/years_on_art,sample/clone,sample/tissue,sample/tissue_url,sample/disease,sample/genbank,environment,info/replicate,info/replicates,source_name
1659,chr16,14310199,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",11,23,NCI-RID
1659,chr16,14310199,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",12,23,NCI-RID
1659,chr16,14310199,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",13,23,NCI-RID
1659,chr16,14310199,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",14,23,NCI-RID
1659,chr16,14310199,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",15,23,NCI-RID
1659,chr16,14310199,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",16,23,NCI-RID
1659,chr16,14310199,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",17,23,NCI-RID
1659,chr16,14310199,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",18,23,NCI-RID
1659,chr16,14310199,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",19,23,NCI-RID
1659,chr16,14310199,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",20,23,NCI-RID
1659,chr16,14310199,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",21,23,NCI-RID
1659,chr16,14310199,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",22,23,NCI-RID
1659,chr16,14310199,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",23,23,NCI-RID
1801,chr16,14310394,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,4,NCI-RID
1801,chr16,14310394,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,4,NCI-RID
1801,chr16,14310394,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,4,NCI-RID
1801,chr16,14310394,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",4,4,NCI-RID
1712,chr16,14310588,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,5,NCI-RID
1712,chr16,14310588,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,5,NCI-RID
1712,chr16,14310588,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,5,NCI-RID
1712,chr16,14310588,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",4,5,NCI-RID
1712,chr16,14310588,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",5,5,NCI-RID
855,chr16,30611837,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
2168,chr16,48316018,3p,,R,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
914,chr16,68130899,3p,,R,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,2,NCI-RID
914,chr16,68130899,3p,,R,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",2,2,NCI-RID
1374,chr16,69634065,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1333,chr17,27766736,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1709,chr17,27877739,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1668,chr17,27877740,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1103,chr17,28506782,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,2,NCI-RID
1103,chr17,28506782,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,2,NCI-RID
2319,chr17,38753623,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
764,chr17,73951646,5p,,F,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
1471,chr18,13335509,5p,,F,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
2145,chr18,44695088,5p,,F,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
1884,chr18,61080947,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1273,chr19,10317374,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,4,NCI-RID
1273,chr19,10317374,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,4,NCI-RID
1273,chr19,10317374,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,4,NCI-RID
1273,chr19,10317374,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",4,4,NCI-RID
2039,chr19,10772549,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
873,chr19,18268520,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1396,chr19,18386503,3p,,R,PT1_Y4.8,24968937,24968937_PT1,4.8,,,,,,"in vivo",1,1,NCI-RID
792,chr19,19400794,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1688,chr19,19544924,5p,,F,PT1_Y4.8,24968937,24968937_PT1,4.8,,,,,,"in vivo",1,1,NCI-RID
1059,chr19,34721505,3p,,F,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
2141,chr19,47603706,5p,,F,PT1_Y4.8,24968937,24968937_PT1,4.8,,,,,,"in vivo",1,1,NCI-RID
1006,chr19,47603706,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1402,chr19,50262160,5p,,F,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
2220,chr2,28080490,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1253,chr2,32318743,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1360,chr2,70326855,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,3,NCI-RID
1360,chr2,70326855,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,3,NCI-RID
1360,chr2,70326855,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,3,NCI-RID
2261,chr2,70437382,3p,,R,PT1_Y4.8,24968937,24968937_PT1,4.8,,,,,,"in vivo",1,1,NCI-RID
728,chr2,106799061,3p,,R,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
1293,chr2,242265354,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1701,chr20,39704657,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1925,chr21,47927062,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1532,chr21,47990527,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,6,NCI-RID
1532,chr21,47990527,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,6,NCI-RID
1532,chr21,47990527,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,6,NCI-RID
1532,chr21,47990527,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",4,6,NCI-RID
1532,chr21,47990527,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",5,6,NCI-RID
1532,chr21,47990527,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",6,6,NCI-RID
1891,chr22,28820617,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1332,chr22,40527779,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
2274,chr22,50298649,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,2,NCI-RID
2274,chr22,50298649,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,2,NCI-RID
1692,chr3,48965866,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
2233,chr3,51434782,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,4,NCI-RID
2233,chr3,51434782,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,4,NCI-RID
2233,chr3,51434782,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,4,NCI-RID
2233,chr3,51434782,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",4,4,NCI-RID
1470,chr3,196805652,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1928,chr5,31553958,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1002,chr5,39167116,3p,,R,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,2,NCI-RID
1002,chr5,39167116,3p,,R,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",2,2,NCI-RID
1824,chr5,68203411,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
834,chr5,132391453,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1433,chr5,142773620,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
778,chr5,180401794,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
599,chr6,31131661,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1858,chr6,90745668,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1899,chr6,90804098,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1761,chr7,24858415,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1522,chr7,33074788,5p,,R,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
1956,chr7,92382430,5p,,F,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,2,NCI-RID
1956,chr7,92382430,5p,,F,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",2,2,NCI-RID
2285,chr7,104723889,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1338,chr7,107182854,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
2161,chr7,129586459,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,3,NCI-RID
2161,chr7,129586459,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,3,NCI-RID
2161,chr7,129586459,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,3,NCI-RID
1074,chr7,150318113,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1609,chr7,150429661,3p,,R,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
1648,chr8,8196288,5p,,F,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
1606,chr9,6001940,5p,,R,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
1217,chr9,77998955,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1267,chr9,132776352,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
713,chr9,133706183,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",4,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",5,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",6,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",7,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",8,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",9,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",10,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",11,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",12,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",13,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",14,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",15,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",16,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",17,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",18,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",19,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",20,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",21,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",22,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",23,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",24,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",25,26,NCI-RID
899,chrX,13041031,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",26,26,NCI-RID
2115,chrX,39836137,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
