info/source_line,landmark,location,ltr,orientation_in_landmark,sample/original_id,sample/pubmed_id,sample/tissue,sample/tissue_url,sample/provirus_activity,environment,source_name
41,chr1,2048940,3p,R,5O55L:02403:01305,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
42,chr1,2172922,3p,F,G13FKHM01BYGBM,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
43,chr1,2175793,3p,F,G13FKHM01BKZ88,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
44,chr1,2208070,3p,R,5O55L:00815:01433,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
45,chr1,2452762,5p,R,RSHY_106N72__050,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
46,chr1,2510353,3p,R,G13FKHM01BC4QF,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
47,chr1,3403500,3p,F,5O55L:00093:01085,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
48,chr1,3684724,3p,F,5O55L:00721:01849,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
49,chr1,3763591,3p,R,G13FKHM01A2H4D,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
50,chr1,3779485,3p,F,5O55L:01218:00930,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
51,chr1,3833216,3p,R,5O55L:01860:02721,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
52,chr1,5957229,3p,R,IBB4A07,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,expressed,"in vitro",SherrillMix-2013
53,chr1,6407081,3p,F,G13FKHM01BIW7I,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
54,chr1,6471907,3p,F,5O55L:02275:01871,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
55,chr1,6658818,3p,R,5O55L:01472:02238,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
56,chr1,6740357,3p,R,ID22D07,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,inducible,"in vitro",SherrillMix-2013
57,chr1,6864709,3p,F,ID13E04,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,inducible,"in vitro",SherrillMix-2013
58,chr1,6874493,3p,F,5O55L:00720:01299,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
59,chr1,6882090,3p,F,G13FKHM01BTB4L,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
60,chr1,7583937,3p,F,5O55L:00871:00138,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
61,chr1,7976382,3p,R,5O55L:00854:02363,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
62,chr1,8347038,3p,F,5O55L:01287:01983,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
63,chr1,8454328,3p,F,GXIEMIS01BC7BI,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
64,chr1,8466891,5p,R,RSHY_BN_336_043,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
65,chr1,8470585,3p,R,GXIEMIS01BXA1L,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
66,chr1,8471656,3p,R,GXIEMIS01AU3LY,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
67,chr1,8478202,3p,F,GXIEMIS01AP97R,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
68,chr1,8480187,3p,R,GXIEMIS01ASJPB,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
69,chr1,8534595,3p,R,5O55L:01935:02714,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
70,chr1,8545704,3p,R,G13FKHM01AKBNK,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
71,chr1,8570600,3p,R,GXIEMIS01A11C0,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
72,chr1,8572870,3p,F,G13FKHM01BWYHY,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
73,chr1,8593863,3p,R,5O55L:02593:02093,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
74,chr1,8620166,3p,R,5O55L:00835:00774,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
75,chr1,8627783,3p,F,5O55L:01997:01986,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
76,chr1,8676670,3p,R,G13FKHM01BFXHM,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
77,chr1,8690083,3p,R,5O55L:02313:00904,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
78,chr1,8701518,3p,R,5O55L:02125:02061,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
79,chr1,8735685,3p,R,5O55L:02620:01519,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
80,chr1,8742767,3p,R,5O55L:02186:01286,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
81,chr1,8753497,3p,R,5O55L:01373:01565,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
82,chr1,8842477,3p,F,5O55L:02170:01967,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
83,chr1,8857544,3p,F,G13FKHM01ASTMI,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
84,chr1,8874035,3p,R,G13FKHM01A8Z8A,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
85,chr1,9019147,5p,F,324_Mixed_093,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,expressed,"in vitro",SherrillMix-2013
86,chr1,9060036,3p,R,G13FKHM01BCBZO,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
87,chr1,9616161,3p,R,G13FKHM01BE34J,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
88,chr1,9616264,3p,F,5O55L:01464:00334,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
89,chr1,9620489,3p,F,5O55L:02522:01477,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
90,chr1,9696399,3p,R,5O55L:02377:01376,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
91,chr1,9736641,3p,F,5O55L:00434:01738,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
92,chr1,9744949,3p,R,GXIEMIS01ANAE1,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
93,chr1,9754756,3p,R,G13FKHM01AWIAE,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
94,chr1,9755928,3p,F,G13FKHM01AN5OE,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
95,chr1,9757817,3p,F,5O55L:02215:00829,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
96,chr1,9763588,3p,F,GXIEMIS01A9IHY,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
97,chr1,9765726,3p,F,G13FKHM01BXWU1,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
98,chr1,9768010,3p,R,G13FKHM01AESBW,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
99,chr1,9802324,5p,R,135__071,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
100,chr1,9861354,3p,F,5O55L:02389:01482,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
101,chr1,9871817,3p,R,5O55L:00697:02275,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
102,chr1,10096594,3p,F,5O55L:02311:01830,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
103,chr1,10114939,3p,R,5O55L:02453:02049,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
104,chr1,10146083,3p,R,5O55L:01239:01696,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
105,chr1,10152065,3p,R,5O55L:01909:01221,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
106,chr1,10184187,3p,F,GXIEMIS01AQ8BC,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
107,chr1,10284323,3p,F,IBB4E03,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,expressed,"in vitro",SherrillMix-2013
108,chr1,10317491,3p,R,G13FKHM01BY4XH,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
109,chr1,10337923,3p,F,ID3A10,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,inducible,"in vitro",SherrillMix-2013
110,chr1,10342244,3p,R,5O55L:00811:00810,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
111,chr1,10417138,3p,R,5O55L:01699:00732,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
112,chr1,10657488,3p,R,5O55L:02339:02112,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
113,chr1,11077365,3p,F,GXIEMIS01BNTDT,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
114,chr1,11083407,3p,F,G13FKHM01BIQAM,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
115,chr1,11154888,3p,R,5O55L:01222:02262,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
116,chr1,11282926,3p,F,G13FKHM01AYPP2,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
117,chr1,11440736,3p,R,5O55L:02417:01255,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
118,chr1,11872214,3p,F,ID28F7,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,inducible,"in vitro",SherrillMix-2013
119,chr1,12053109,3p,F,G13FKHM01AJC3B,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
120,chr1,12053612,3p,F,GXIEMIS01AFW8E,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
121,chr1,12159316,3p,F,G13FKHM01AE1RC,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
122,chr1,12319443,3p,F,G13FKHM01AHBG7,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
123,chr1,12343933,3p,F,5O55L:01734:02154,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
124,chr1,12407290,3p,R,5O55L:01813:02350,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
125,chr1,12415148,3p,F,G13FKHM01BEUM0,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
126,chr1,12416685,5p,R,RSHY_106G2_2L_040,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,expressed,"in vitro",SherrillMix-2013
127,chr1,12432250,3p,F,5O55L:02049:02200,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
128,chr1,12460821,5p,F,RSHY_112C_26_035,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
129,chr1,12469206,3p,R,5O55L:00839:01185,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
130,chr1,12515805,3p,R,5O55L:01368:00413,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
131,chr1,12519119,3p,F,G13FKHM01BD8ZH,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
132,chr1,12529422,3p,F,5O55L:00365:01212,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
133,chr1,12530031,3p,F,5O55L:01814:02570,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
134,chr1,12548671,3p,F,5O55L:02128:01007,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
135,chr1,12576400,3p,R,5O55L:01449:01590,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
136,chr1,12596376,3p,F,5O55L:01759:01269,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
137,chr1,12629873,3p,F,5O55L:01915:00735,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
138,chr1,12668809,3p,R,G13FKHM01AZBIE,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
139,chr1,14062644,3p,F,G13FKHM01AGQAP,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
140,chr1,14073837,3p,F,5O55L:00450:01061,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
141,chr1,14090803,3p,F,GXIEMIS01AWX8H,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
142,chr1,14091795,5p,F,RSHY_BN_288_038,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
143,chr1,14111327,3p,F,G13FKHM01BG5Z8,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
144,chr1,15742109,3p,R,G13FKHM01AIGK2,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
145,chr1,15897840,3p,F,G13FKHM01BCRJ9,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
146,chr1,15948364,3p,F,GXIEMIS01AN550,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
147,chr1,16077315,3p,F,5O55L:02451:02093,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
148,chr1,16199868,3p,F,5O55L:00176:01407,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
149,chr1,16227453,3p,F,GXIEMIS01ANQC3,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
150,chr1,16234541,3p,F,GXIEMIS01BO4GH,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
151,chr1,16240014,3p,R,5O55L:02202:01610,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
152,chr1,16244920,5p,F,RSHY_BN_369_073,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
153,chr1,16245254,3p,F,GXIEMIS01AEFFX,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
154,chr1,16489987,3p,F,5O55L:00984:01275,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
155,chr1,16666468,3p,F,G13FKHM01BQWYD,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
156,chr1,16668252,3p,F,5O55L:02282:01647,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
157,chr1,16922773,3p,R,G13FKHM01APX7O,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
158,chr1,16936402,3p,R,5O55L:02000:01033,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
159,chr1,18591606,3p,R,5O55L:02222:01250,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
160,chr1,19411432,3p,R,ID1D12,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,inducible,"in vitro",SherrillMix-2013
161,chr1,19426487,3p,R,5O55L:00152:00257,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
162,chr1,19456279,3p,R,ID5A1,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,inducible,"in vitro",SherrillMix-2013
163,chr1,19461477,3p,F,GXIEMIS01ABCG6,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
164,chr1,19507106,3p,R,5O55L:01726:01394,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
165,chr1,19507115,3p,R,5O55L:02301:02350,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
166,chr1,19515529,3p,R,5O55L:01986:02694,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
167,chr1,19539360,3p,F,ID1A4,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,inducible,"in vitro",SherrillMix-2013
168,chr1,19541124,3p,F,5O55L:01864:00262,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
169,chr1,19757107,3p,R,G13FKHM01AF9J8,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
170,chr1,19948344,3p,F,GXIEMIS01AGOZ7,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
171,chr1,19949650,3p,F,5O55L:01209:01094,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
172,chr1,21066719,3p,F,G13FKHM01AIMR3,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
173,chr1,21091104,3p,R,G13FKHM01AMXRP,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
174,chr1,21106199,3p,R,G13FKHM01A9LVE,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
175,chr1,21134402,3p,R,GXIEMIS01BBFHN,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
176,chr1,21137343,3p,F,5O55L:01820:00262,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
177,chr1,21170899,3p,R,IBB8A11,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,expressed,"in vitro",SherrillMix-2013
178,chr1,21212784,3p,R,G13FKHM01A2EJ0,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
179,chr1,21260083,3p,R,5O55L:00650:00438,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
180,chr1,21591309,3p,R,5O55L:01410:02066,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
181,chr1,22048387,3p,F,G13FKHM01AT44T,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
182,chr1,22066932,3p,R,G13FKHM01AN2Y2,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
183,chr1,22098054,3p,R,G13FKHM01BVWHT,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
184,chr1,22390744,3p,F,GXIEMIS01BJE6W,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
185,chr1,22393163,3p,R,G13FKHM01AECA4,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
186,chr1,22400470,3p,F,G13FKHM01BP3UG,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
187,chr1,22406153,3p,F,G13FKHM01ATAH9,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
188,chr1,22417608,3p,F,G13FKHM01A2NZ6,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
189,chr1,22422989,3p,R,G13FKHM01BPTZ3,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
190,chr1,22425016,3p,R,5O55L:01084:01931,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
191,chr1,22548188,3p,R,G13FKHM01BKLFK,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
192,chr1,23364421,3p,F,5O55L:01341:00364,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
193,chr1,23367549,3p,R,ID24E12,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,inducible,"in vitro",SherrillMix-2013
194,chr1,23369720,3p,F,GXIEMIS01BKAOG,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
195,chr1,23371755,3p,F,ID12E3,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,inducible,"in vitro",SherrillMix-2013
196,chr1,23451562,3p,R,G13FKHM01AWF8Q,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
197,chr1,23470473,3p,R,GXIEMIS01A4OT0,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
198,chr1,23486524,3p,F,5O55L:02473:01523,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
199,chr1,23581237,3p,F,5O55L:02535:01088,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
200,chr1,23902883,3p,F,G13FKHM01BGSO1,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
201,chr1,24292119,3p,R,G13FKHM01BAGS0,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
202,chr1,24292901,3p,F,G13FKHM01BDQK5,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
