chromosome,gene,location,ltr,ncbi_gene_id,note,orientation_in_gene,orientation_in_reference,sample/original_id,sample/pubmed_id,source_name
22,GGA1,38011245,5p,26088,,F,R,AB256130.1,17262715,NCI-RID
6,BACH2,90727709,5p,60468,,R,R,AB256131.1,17262715,NCI-RID
10,,47572785,5p,,,,R,AB256132.1,17262715,NCI-RID
16,NAE1,66849558,5p,8883,,R,F,AB256133.1,17262715,NCI-RID
16,,25088261,5p,,,,F,AB256134.1,17262715,NCI-RID
6,BACH2,90725088,5p,60468,,R,R,AB256135.1,17262715,NCI-RID
18,RTTN,67837922,5p,25914,,R,R,AB256136.1,17262715,NCI-RID
10,SLK,105737093,5p,9748,,F,R,AB256137.1,17262715,NCI-RID
6,BACH2,90727709,5p,60468,,R,R,AB256138.1,17262715,NCI-RID
17,,8071356,5p,,,,R,AB256139.1,17262715,NCI-RID
7,USP42,6172272,5p,84132,,F,F,AB256140.1,17262715,NCI-RID
12,MARS,57909229,5p,4141,,F,F,AB256141.1,17262715,NCI-RID
6,,26142746,5p,,,,R,AB256142.1,17262715,NCI-RID
1,DHDDS,26792024,5p,79947,,F,F,AB256143.1,17262715,NCI-RID
6,BACH2,90732927,5p,60468,,R,R,AB256144.1,17262715,NCI-RID
6,BACH2,90751044,5p,60468,,R,R,AB256145.1,17262715,NCI-RID
19,,40799413,5p,,,,F,AB256147.1,17262715,NCI-RID
2,NCOA1,24949995,5p,8648,,F,R,AB256148.1,17262715,NCI-RID
6,BACH2,90731413,5p,60468,,R,R,AB256149.1,17262715,NCI-RID
1,EIF2B3,45379789,5p,8891,,R,F,AB256150.1,17262715,NCI-RID
11,RPS6KA4,64132547,5p,8986,,F,R,AB256151.1,17262715,NCI-RID
15,CHD2,93518673,5p,1106,,F,R,AB256152.1,17262715,NCI-RID
6,UTRN,144844822,5p,7402,,F,R,AB256153.1,17262715,NCI-RID
3,FOXP1,71069621,5p,27086,,R,R,AB256154.1,17262715,NCI-RID
1,NOTCH2NL,145244933,5p,388677,,F,F,AB256155.1,17262715,NCI-RID
11,STX5,62584172,5p,6811,,R,F,AB256156.1,17262715,NCI-RID
6,BACH2,90731236,5p,60468,,R,R,AB256157.1,17262715,NCI-RID
1,CDC42,22401992,5p,998,,F,F,AB256158.1,17262715,NCI-RID
14,GPATCH2L,76656050,5p,55668,,F,R,AB256159.1,17262715,NCI-RID
6,BACH2,90732927,5p,60468,,R,R,AB256160.1,17262715,NCI-RID
16,SMG1,18893143,5p,23049,,R,F,AB256161.1,17262715,NCI-RID
6,BACH2,90732883,5p,60468,,R,R,AB256162.1,17262715,NCI-RID
16,SMG1,18893143,5p,23049,,R,F,AB256163.1,17262715,NCI-RID
16,SMG1,18893143,5p,23049,,R,F,AB256164.1,17262715,NCI-RID
16,SMG1,18893143,5p,23049,,R,F,AB256165.1,17262715,NCI-RID
6,BACH2,90752135,5p,60468,,R,R,AB256166.1,17262715,NCI-RID
6,LOC100294145,32870468,5p,100294145,,F,R,AB256167.1,17262715,NCI-RID
15,COX5A,75225931,5p,9377,,R,R,AB256168.1,17262715,NCI-RID
2,BIRC6,32687141,5p,57448,,F,R,AB256169.1,17262715,NCI-RID
19,TYK2,10465278,5p,7297,,R,F,AB256170.1,17262715,NCI-RID
16,SMG1,18893143,5p,23049,,R,F,AB256171.1,17262715,NCI-RID
6,BACH2,90746053,5p,60468,,R,R,AB256172.1,17262715,NCI-RID
16,BANP,88024922,5p,54971,,F,R,AB256173.1,17262715,NCI-RID
17,SMURF2,62612983,5p,64750,,R,F,AB256174.1,17262715,NCI-RID
6,BACH2,90762210,5p,60468,,R,R,AB256175.1,17262715,NCI-RID
19,TYK2,10468402,5p,7297,,R,F,AB256176.1,17262715,NCI-RID
6,BACH2,90751982,5p,60468,,R,R,AB256177.1,17262715,NCI-RID
19,SAE1,47701178,5p,10055,,F,F,AB256178.1,17262715,NCI-RID
5,FAM13B,137315783,5p,51306,,R,R,AB256179.1,17262715,NCI-RID
6,BACH2,90760482,5p,60468,,R,R,AB256180.1,17262715,NCI-RID
16,SMG1,18893143,5p,23049,,R,F,AB256181.1,17262715,NCI-RID
6,BACH2,90756807,5p,60468,,R,R,AB256182.1,17262715,NCI-RID
11,RARRES3,63308510,5p,5920,,F,R,AB256183.1,17262715,NCI-RID
3,SMARCC1,47667238,5p,6599,,R,F,AB256184.1,17262715,NCI-RID
6,BACH2,90751982,5p,60468,,R,R,AB256185.1,17262715,NCI-RID
6,BACH2,90751302,5p,60468,,R,R,AB256186.1,17262715,NCI-RID
7,NRF1,129272535,5p,4899,,F,R,AB256187.1,17262715,NCI-RID
6,BACH2,90751982,5p,60468,,R,R,AB256188.1,17262715,NCI-RID
6,BACH2,90762210,5p,60468,,R,R,AB256189.1,17262715,NCI-RID
6,BACH2,90752135,5p,60468,,R,R,AB256190.1,17262715,NCI-RID
X,,118943893,5p,,,,R,AB256191.1,17262715,NCI-RID
16,SMG1,18893143,5p,23049,,R,F,AB256192.1,17262715,NCI-RID
6,BACH2,90751302,5p,60468,,R,R,AB256193.1,17262715,NCI-RID
16,SMG1,18893143,5p,23049,,R,F,AB256194.1,17262715,NCI-RID
1,ASH1L,155420058,5p,55870,,R,F,AB256195.1,17262715,NCI-RID
8,NCOA2,71312554,5p,10499,,R,R,AB256196.1,17262715,NCI-RID
12,,19730817,5p,,,,R,AB256197.1,17262715,NCI-RID
4,ABCE1,146044130,5p,6059,,F,F,AB256198.1,17262715,NCI-RID
11,TPP1,6637303,5p,1200,,R,R,AB256199.1,17262715,NCI-RID
X,,153162455,5p,,,,R,AB256200.1,17262715,NCI-RID
7,OGDH,44668817,5p,4967,,F,R,AB256201.1,17262715,NCI-RID
6,BACH2,90727631,5p,60468,,R,R,AB256202.1,17262715,NCI-RID
17,NSF,44764904,5p,4905,,F,F,AB256203.1,17262715,NCI-RID
22,KLHDC7B,50988621,5p,113730,,F,F,AB256204.1,17262715,NCI-RID
X,,118943893,5p,,,,R,AB256205.1,17262715,NCI-RID
16,SMG1,18893143,5p,23049,,R,F,AB256206.1,17262715,NCI-RID
16,CTCF,67627008,5p,10664,,F,R,AB256207.1,17262715,NCI-RID
4,,49644730,5p,,,,F,AB256208.1,17262715,NCI-RID
6,BACH2,90762210,5p,60468,,R,R,AB256209.1,17262715,NCI-RID
1,NUP133,229582561,5p,55746,,R,F,AB256210.1,17262715,NCI-RID
6,BACH2,90762775,5p,60468,,R,R,AB256211.1,17262715,NCI-RID
X,,118943893,5p,,,,R,AB256212.1,17262715,NCI-RID
6,BACH2,90762775,5p,60468,,R,R,AB256213.1,17262715,NCI-RID
20,ZGPAT,62347920,5p,84619,,F,R,AB256214.1,17262715,NCI-RID
10,,91601309,5p,,,,F,AB256215.1,17262715,NCI-RID
7,,17235000,5p,,,,R,AB256216.1,17262715,NCI-RID
11,PRMT3,20436103,5p,10196,,F,R,AB256217.1,17262715,NCI-RID
6,BACH2,90751635,5p,60468,,R,R,AB256218.1,17262715,NCI-RID
1,CPSF3L,1252831,5p,54973,,R,F,AB256219.1,17262715,NCI-RID
1,LIX1L,145488885,5p,128077,,F,R,AB256220.1,17262715,NCI-RID
6,BACH2,90751065,5p,60468,,R,R,AB256221.1,17262715,NCI-RID
2,PELI1,64320007,5p,57162,,R,F,AB256222.1,17262715,NCI-RID
20,ZGPAT,62347920,5p,84619,,F,R,AB256223.1,17262715,NCI-RID
20,,24299215,5p,,,,R,AB256224.1,17262715,NCI-RID
17,ANKFY1,4146601,5p,51479,,R,F,AB256225.1,17262715,NCI-RID
6,BACH2,90732927,5p,60468,,R,R,AB256226.1,17262715,NCI-RID
6,,30505116,5p,,,,R,AB256227.1,17262715,NCI-RID
6,BACH2,90751065,5p,60468,,R,R,AB256228.1,17262715,NCI-RID
6,BACH2,90762775,5p,60468,,R,R,AB256229.1,17262715,NCI-RID
16,LOC595101,30305420,5p,,,R,R,AB256230.1,17262715,NCI-RID
22,SPECC1L,24707003,5p,23384,,F,F,AB256231.1,17262715,NCI-RID
6,BACH2,90754240,5p,60468,,R,R,AB256232.1,17262715,NCI-RID
6,LEMD2,33746300,5p,221496,,R,F,AB256233.1,17262715,NCI-RID
3,WDR82,52299535,5p,80335,,R,F,AB256234.1,17262715,NCI-RID
1,GNB1,1754772,5p,2782,,R,F,AB256235.1,17262715,NCI-RID
X,DDX26B,134700377,5p,203522,,F,R,AB256236.1,17262715,NCI-RID
19,HNRNPM,8523022,5p,4670,,F,R,AB256237.1,17262715,NCI-RID
14,,38533349,5p,,,,F,AB256238.1,17262715,NCI-RID
6,BACH2,90726629,5p,60468,,R,R,AB256239.1,17262715,NCI-RID
6,BACH2,90762775,5p,60468,,R,R,AB256240.1,17262715,NCI-RID
6,BACH2,90731413,5p,60468,,R,R,AB256241.1,17262715,NCI-RID
6,BACH2,90751894,5p,60468,,R,R,AB256242.1,17262715,NCI-RID
16,SMG1P1,22494995,5p,,,F,F,AB256243.1,17262715,NCI-RID
12,PRIM1,57132959,5p,5557,,R,R,AB256244.1,17262715,NCI-RID
11,NUCB2,17339352,5p,4925,,F,R,AB256245.1,17262715,NCI-RID
2,ANKRD36C,96617145,5p,,,R,F,AB256246.1,17262715,NCI-RID
6,BACH2,90751635,5p,60468,,R,R,AB256247.1,17262715,NCI-RID
6,BACH2,90751065,5p,60468,,R,R,AB256248.1,17262715,NCI-RID
19,AP3D1,2148199,5p,8943,,R,F,AB256249.1,17262715,NCI-RID
19,,42040608,5p,,,,R,AB256250.1,17262715,NCI-RID
22,,19844918,5p,,,,R,AB256251.1,17262715,NCI-RID
20,DIDO1,61510042,5p,11083,,R,F,AB256252.1,17262715,NCI-RID
19,SLC44A2,10732517,5p,57153,,F,F,AB256253.1,17262715,NCI-RID
1,EIF4G3,21283078,5p,8672,,R,F,AB256254.1,17262715,NCI-RID
19,ELL,18610072,5p,8178,,R,F,AB256255.1,17262715,NCI-RID
16,NSMCE1,27271539,5p,197370,,R,R,AB256256.1,17262715,NCI-RID
1,EIF4G3,21283078,5p,8672,,R,F,AB256257.1,17262715,NCI-RID
8,,145077326,5p,,,,F,AB256258.1,17262715,NCI-RID
14,PELI2,56658731,5p,57161,,F,F,AB256259.1,17262715,NCI-RID
11,CAPN1,64962022,5p,823,,F,F,AB256260.1,17262715,NCI-RID
22,,19844918,5p,,,,R,AB256261.1,17262715,NCI-RID
4,,29780119,5p,,,,F,AB256262.1,17262715,NCI-RID
1,EIF4G3,21283078,5p,8672,,R,F,AB256263.1,17262715,NCI-RID
6,SCML4,108133860,5p,256380,,R,R,AB256264.1,17262715,NCI-RID
22,,19844918,5p,,,,R,AB256265.1,17262715,NCI-RID
19,SAE1,47700359,5p,10055,,F,R,AB256266.1,17262715,NCI-RID
22,,19844918,5p,,,,R,AB256267.1,17262715,NCI-RID
19,FLT3LG,49986405,5p,2323,,F,F,AB256268.1,17262715,NCI-RID
12,SPATS2,49804993,5p,65244,,F,R,AB256269.1,17262715,NCI-RID
8,HEATR7A,145254644,5p,727957,,F,F,AB256270.1,17262715,NCI-RID
6,FKBP5,35653429,5p,2289,,R,F,AB256271.1,17262715,NCI-RID
3,,16350689,5p,,,,F,AB256272.1,17262715,NCI-RID
12,SPATS2,49804993,5p,65244,,F,R,AB256273.1,17262715,NCI-RID
12,SPATS2,49804993,5p,65244,,F,R,AB256274.1,17262715,NCI-RID
12,PLEKHA5,19311648,5p,54477,,F,R,AB256275.1,17262715,NCI-RID
22,,19844918,5p,,,,R,AB256276.1,17262715,NCI-RID
9,SPTAN1,131336678,5p,6709,,F,R,AB256277.1,17262715,NCI-RID
9,SPTAN1,131336678,5p,6709,,F,R,AB256278.1,17262715,NCI-RID
2,LINC00471,232376791,5p,151477,,R,R,AB256279.1,17262715,NCI-RID
19,GLT25D1,17669192,5p,79709,,F,R,AB256280.1,17262715,NCI-RID
5,,133392949,5p,,,,F,AB256281.1,17262715,NCI-RID
1,GPBP1L1,46108400,5p,60313,,R,F,AB256282.1,17262715,NCI-RID
1,GPBP1L1,46108400,5p,60313,,R,F,AB256283.1,17262715,NCI-RID
3,RNF13,149617226,5p,11342,,F,R,AB256284.1,17262715,NCI-RID
22,,19844918,5p,,,,R,AB256285.1,17262715,NCI-RID
17,POLR2A,7389764,5p,5430,,F,R,AB256286.1,17262715,NCI-RID
1,,228689279,5p,,,,R,AB256287.1,17262715,NCI-RID
20,PCIF1,44571669,5p,63935,,F,F,AB256288.1,17262715,NCI-RID
1,SLC30A7,101410897,5p,148867,,F,F,AB256289.1,17262715,NCI-RID
1,UBE4B,10204337,5p,10277,,F,F,AB256290.1,17262715,NCI-RID
16,ANKRD11,89489489,5p,29123,,R,F,AB256291.1,17262715,NCI-RID
14,FUT8,66105461,5p,2530,,F,F,AB256292.1,17262715,NCI-RID
22,,19844918,5p,,,,R,AB256293.1,17262715,NCI-RID
2,AAK1,69786653,5p,22848,,R,R,AB256294.1,17262715,NCI-RID
9,FNBP1,132650146,5p,23048,,R,F,AB256295.1,17262715,NCI-RID
22,CECR1,17660712,5p,51816,,R,F,AB256296.1,17262715,NCI-RID
22,,19844918,5p,,,,R,AB256297.1,17262715,NCI-RID
4,INPP4B,143085267,5p,8821,,R,F,AB256298.1,17262715,NCI-RID
17,STAT5B,40416903,5p,6777,,R,R,AB256299.1,17262715,NCI-RID
3,FOXP1,71069621,5p,27086,,R,R,AB256300.1,17262715,NCI-RID
2,,161400347,5p,,,,F,AB256301.1,17262715,NCI-RID
17,NBR1,41340719,5p,4077,,F,R,AB256302.1,17262715,NCI-RID
19,ZNF814,58389122,5p,730051,,R,F,AB256303.1,17262715,NCI-RID
3,,195368223,5p,,,,F,AB256304.1,17262715,NCI-RID
1,DENND1B,197637249,5p,163486,,R,R,AB256305.1,17262715,NCI-RID
17,RNF157,74227757,5p,114804,,R,F,AB256306.1,17262715,NCI-RID
14,,22216566,5p,,,,R,AB256307.1,17262715,NCI-RID
22,,19844918,5p,,,,R,AB256308.1,17262715,NCI-RID
22,,19844918,5p,,,,R,AB256309.1,17262715,NCI-RID
12,SPATS2,49804993,5p,65244,,F,R,AB256310.1,17262715,NCI-RID
7,AKAP9,91638860,5p,10142,,F,F,AB256311.1,17262715,NCI-RID
17,,22258591,5p,,,,F,AB256312.1,17262715,NCI-RID
16,,28943194,5p,,,,F,AB256313.1,17262715,NCI-RID
19,RDH13,55563164,5p,112724,,R,R,AB256314.1,17262715,NCI-RID
6,ECI2,4124689,5p,10455,,R,F,AB256315.1,17262715,NCI-RID
16,NUP93,56820266,5p,9688,,F,R,AB256316.1,17262715,NCI-RID
1,ZMPSTE24,40744277,5p,10269,,F,R,AB256317.1,17262715,NCI-RID
14,,22216566,5p,,,,R,AB256318.1,17262715,NCI-RID
14,,22216566,5p,,,,R,AB256319.1,17262715,NCI-RID
11,ZBTB16,114038418,5p,7704,,F,R,AB256320.1,17262715,NCI-RID
16,RPGRIP1L,53671909,5p,23322,,R,F,AB256321.1,17262715,NCI-RID
2,GORASP2,171811130,5p,26003,,F,R,AB256322.1,17262715,NCI-RID
14,PRKCH,61831805,5p,5583,,F,R,AB256323.1,17262715,NCI-RID
6,UBR2,42550847,5p,23304,,F,F,AB256324.1,17262715,NCI-RID
17,NOL11,65731432,5p,25926,,F,F,AB256325.1,17262715,NCI-RID
17,NUFIP2,27588448,5p,57532,,R,F,AB256326.1,17262715,NCI-RID
22,DDX17,38886872,5p,10521,,R,R,AB256327.1,17262715,NCI-RID
22,,37547781,5p,,,,R,AB256328.1,17262715,NCI-RID
8,PLEC,145036803,5p,5339,,R,F,AB256329.1,17262715,NCI-RID
14,,22216566,5p,,,,R,AB256330.1,17262715,NCI-RID
1,PRDM2,14050073,5p,7799,,F,R,AB256331.1,17262715,NCI-RID
14,,22216566,5p,,,,R,AB256332.1,17262715,NCI-RID
19,,36421169,5p,,,,R,AB256333.1,17262715,NCI-RID
5,UBE2D2,138982801,5p,7322,,F,R,AB256334.1,17262715,NCI-RID
13,UBAC2,99976455,5p,337867,,F,R,AB256335.1,17262715,NCI-RID
15,,21320619,5p,,,,R,AB256336.1,17262715,NCI-RID
17,BRIP1,59837308,5p,83990,,R,F,AB256337.1,17262715,NCI-RID
14,,22216566,5p,,,,R,AB256338.1,17262715,NCI-RID
16,CBFB,67116839,5p,865,,F,R,AB256339.1,17262715,NCI-RID
17,RPTOR,78590043,5p,57521,,F,F,AB256340.1,17262715,NCI-RID
3,ISY1-RAB43,128861685,5p,100534599,,R,R,AB256341.1,17262715,NCI-RID
